Minutes5DK,Minutes5UTC,CO2Emission,PriceArea
2019-12-16T07:00:00,2019-12-16T06:00:00+00:00,153,DK1
2019-12-16T07:05:00,2019-12-16T06:05:00+00:00,149,DK1
2019-12-16T07:10:00,2019-12-16T06:10:00+00:00,149,DK1
2019-12-16T07:15:00,2019-12-16T06:15:00+00:00,149,DK1
2019-12-16T07:20:00,2019-12-16T06:20:00+00:00,147,DK1
2019-12-16T07:25:00,2019-12-16T06:25:00+00:00,147,DK1
2019-12-16T07:30:00,2019-12-16T06:30:00+00:00,148,DK1
2019-12-16T07:35:00,2019-12-16T06:35:00+00:00,151,DK1
2019-12-16T07:40:00,2019-12-16T06:40:00+00:00,151,DK1
2019-12-16T07:45:00,2019-12-16T06:45:00+00:00,150,DK1
2019-12-16T07:50:00,2019-12-16T06:50:00+00:00,145,DK1
